itemid,label,category,param_type,origin
220045,Heart Rate,Routine Vital Signs,Numeric,chartevents
220210,Respiratory Rate,Respiratory,Numeric,chartevents
220277,O2 saturation pulseoxymetry,Respiratory,Numeric,chartevents
223762,Temperature Celsius,Routine Vital Signs,Numeric,chartevents
220179,Non Invasive Blood Pressure systolic,Routine Vital Signs,Numeric,chartevents
220180,Non Invasive Blood Pressure diastolic,Routine Vital Signs,Numeric,chartevents
220052,Arterial Blood Pressure mean,Routine Vital Signs,Numeric,chartevents
50931,Glucose,Chemistry,Blood,labevents
50813,Lactate,Blood Gas,Blood,labevents
50912,Creatinine,Chemistry,Blood,labevents
50885,"Bilirubin, Total",Chemistry,Blood,labevents
51265,Platelet Count,Hematology,Blood,labevents
51301,White Blood Cells,Hematology,Blood,labevents
223835,Inspired O2 Fraction,Respiratory,Numeric,chartevents
50820,pH,Blood Gas,Blood,labevents
50821,pO2,Blood Gas,Blood,labevents
50818,pCO2,Blood Gas,Blood,labevents
220739,Glasgow Coma Scale,Neurological,Text,chartevents
226559,Urine Output,Output,Numeric,chartevents
221906,Norepinephrine,Medications,Solution,chartevents
225158,IV Fluids,Fluids/Intake,Solution,chartevents
223848,Mechanical Ventilation,Respiratory,Text,chartevents
220001,Problem List,General,Text,chartevents
220003,ICU Admission date,ADT,Date and time,chartevents
220046,Heart rate Alarm - High,Alarms,Numeric,chartevents
220047,Heart Rate Alarm - Low,Alarms,Numeric,chartevents
220048,Heart Rhythm,Routine Vital Signs,Text,chartevents
220050,Arterial Blood Pressure systolic,Routine Vital Signs,Numeric,chartevents
220051,Arterial Blood Pressure diastolic,Routine Vital Signs,Numeric,chartevents
220056,Arterial Blood Pressure Alarm - Low,Alarms,Numeric,chartevents
220058,Arterial Blood Pressure Alarm - High,Alarms,Numeric,chartevents
220059,Pulmonary Artery Pressure systolic,Hemodynamics,Numeric,chartevents
220060,Pulmonary Artery Pressure diastolic,Hemodynamics,Numeric,chartevents
220061,Pulmonary Artery Pressure mean,Hemodynamics,Numeric,chartevents
220063,Pulmonary Artery Pressure Alarm - High,Alarms,Numeric,chartevents
220066,Pulmonary Artery Pressure Alarm - Low,Alarms,Numeric,chartevents
220069,Left Artrial Pressure,Hemodynamics,Numeric,chartevents
220072,Central Venous Pressure Alarm - High,Alarms,Numeric,chartevents
220073,Central Venous Pressure  Alarm - Low,Alarms,Numeric,chartevents
220074,Central Venous Pressure,Hemodynamics,Numeric,chartevents
220088,Cardiac Output (thermodilution),Hemodynamics,Numeric,chartevents
220120,Intra Aortic Ballon Pump Setting,IABP,Text,chartevents
220125,Left Ventricular Assit Device Flow,Hemodynamics,Numeric,chartevents
220128,Right Ventricular Assist Device Flow,Hemodynamics,Numeric,chartevents
220181,Non Invasive Blood Pressure mean,Routine Vital Signs,Numeric,chartevents
220194,Temporary AV interval,Cardiovascular (Pacer Data),Numeric,chartevents
220218,Vital Capacity,Respiratory,Numeric,chartevents
220224,Arterial O2 pressure,Labs,Numeric,chartevents
220227,Arterial O2 Saturation,Labs,Numeric,chartevents
220228,Hemoglobin,Labs,Numeric,chartevents
220235,Arterial CO2 Pressure,Labs,Numeric,chartevents
220245,CO2 production,Respiratory,Numeric,chartevents
220274,PH (Venous),Labs,Numeric,chartevents
220283,Resistance,Respiratory,Numeric,chartevents
220292,Minute Volume Alarm - Low,Alarms,Numeric,chartevents
220293,Minute Volume Alarm - High,Alarms,Numeric,chartevents
220339,PEEP set,Respiratory,Numeric,chartevents
220341,Alanine (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220344,Amino Acid,Ingredients - general (Not In Use),Ingredient,chartevents
220346,Arachidic acid,Ingredients - general (Not In Use),Ingredient,chartevents
220347,Arginine,Ingredients - general (Not In Use),Ingredient,chartevents
220349,Ascorbic acid,Ingredients - general (Not In Use),Ingredient,chartevents
220351,Aspartic Acid,Ingredients - general (Not In Use),Ingredient,chartevents
220354,Beta Carotene,Ingredients - general (Not In Use),Ingredient,chartevents
220356,Biotine,Ingredients - general (Not In Use),Ingredient,chartevents
220362,Calciferol,Ingredients - general (Not In Use),Ingredient,chartevents
220363,Calcium (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220364,Carbohydrates,Ingredients - general (Not In Use),Ingredient,chartevents
220365,Carnitine,Ingredients - general (Not In Use),Ingredient,chartevents
220367,Chloride (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220368,Cholecalciferol,Ingredients - general (Not In Use),Ingredient,chartevents
220369,Choline,Ingredients - general (Not In Use),Ingredient,chartevents
220370,Chromium (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220373,Cobolamin,Ingredients - general (Not In Use),Ingredient,chartevents
220375,Copper (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220377,Cysteine,Ingredients - general (Not In Use),Ingredient,chartevents
220387,Fat,Ingredients - general (Not In Use),Ingredient,chartevents
220388,Fibers,Ingredients - general (Not In Use),Ingredient,chartevents
220389,Fluoride,Ingredients - general (Not In Use),Ingredient,chartevents
220390,Folic Acid (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220395,Glucose (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
