model,setup,masking,feature,mae,rmse,mre,r2,n_masked
brits,handpicked,random_p0.3,heart_rate,1.2694,5.3411,7.0737,-26.8161,6692
brits,handpicked,random_p0.3,respiratory_rate,0.8873,1.4205,2.9871,-0.9601,6803
brits,handpicked,random_p0.3,spo2,1.1139,2.0987,4.3884,-3.4736,6628
brits,handpicked,random_p0.3,temperature,0.7403,0.9972,1.0002,-0.0013,523
brits,handpicked,random_p0.3,sbp,4.0459,9.0354,22.0473,-83.4535,4035
brits,handpicked,random_p0.3,dbp,2.2519,3.9381,11.2054,-14.4841,3985
brits,handpicked,random_p0.3,mbp,0.7754,1.0089,1.0131,-0.0030,3278
brits,handpicked,random_p0.3,glucose,73.3726,86.3984,414.2112,-6592.5908,2129
brits,handpicked,random_p0.3,lactate,1.1998,1.3777,4.1998,-0.9027,1523
brits,handpicked,random_p0.3,creatinine,0.9468,1.1228,4.3912,-0.5416,2241
brits,handpicked,random_p0.3,bilirubin,0.7565,0.9174,3.7612,-0.0646,729
brits,handpicked,random_p0.3,platelets,109.7637,120.6112,2178.6104,-15249.3760,2020
brits,handpicked,random_p0.3,wbc,5.5355,6.6630,36.3313,-42.9002,2012
brits,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
brits,handpicked,random_p0.3,ph,2.7165,3.3939,10.8840,-11.6066,2253
brits,handpicked,random_p0.3,pao2,27.7361,36.4730,396.6411,-1313.2870,2113
brits,handpicked,random_p0.3,paco2,9.2273,12.0832,79.1840,-145.4426,2144
brits,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
brits,handpicked,random_p0.3,urine_output,1.6386,7.2675,6.9610,-50.7788,6304
brits,handpicked,random_p0.3,norepi_equiv,0.6790,0.8925,1.0124,-0.0036,1308
brits,handpicked,random_p0.3,fluid_volume,4.1077,5.2805,21.3370,-24.5247,3864
brits,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
