model,masking,feature,mae,rmse,mre,r2,n_masked
mean,block_L10_N2,heart_rate,0.7968,0.9914,1.0000,-0.0001,107428
mean,block_L10_N2,sbp,0.8146,0.9895,1.0000,-0.0039,104694
mean,block_L10_N2,dbp,0.7786,0.9867,1.0000,-0.0017,104649
mean,block_L10_N2,mbp,0.8017,1.0159,1.0000,-0.0001,107047
mean,block_L10_N2,respiratory_rate,0.8078,0.9896,1.0000,-0.0000,106142
mean,block_L10_N2,spo2,0.7018,0.9338,1.0000,-0.0032,6747
mean,block_L10_N2,temperature,0.6882,0.9405,1.0000,-0.0042,8875
mean,block_L10_N2,gcs,0.7428,0.9622,1.0000,-0.0001,9785
mean,block_L10_N2,glucose,0.7414,1.0043,1.0000,-0.0002,9646
mean,block_L10_N2,creatinine,0.7703,0.9953,1.0000,-0.0004,9547
mean,block_L10_N2,bilirubin,0.6855,0.9978,1.0000,-0.0000,9168
mean,block_L10_N2,bun,0.7400,0.9851,1.0000,-0.0003,9124
mean,block_L10_N2,wbc,0.7152,0.9832,1.0000,-0.0000,8584
mean,block_L10_N2,sodium,0.7562,0.9884,1.0000,-0.0001,8753
mean,block_L10_N2,potassium,0.7770,0.9614,1.0000,-0.0000,8794
mean,block_L10_N2,hematocrit,0.7653,0.9595,1.0000,-0.0003,10072
mean,block_L10_N2,bicarbonate,0.6752,0.9998,1.0000,-0.0004,6686
locf,block_L10_N2,heart_rate,0.4905,0.6969,3.1467,0.5058,107428
locf,block_L10_N2,sbp,0.5297,0.7317,2.2520,0.4511,104694
locf,block_L10_N2,dbp,0.6660,0.9178,3.3734,0.1333,104649
locf,block_L10_N2,mbp,0.7206,0.9987,1.9338,0.0334,107047
locf,block_L10_N2,respiratory_rate,0.6916,0.9848,2.0006,0.0097,106142
locf,block_L10_N2,spo2,0.6257,0.9165,2.4869,0.0335,6747
locf,block_L10_N2,temperature,0.6436,0.9769,2.7198,-0.0835,8875
locf,block_L10_N2,gcs,0.7006,0.9586,2.6842,0.0074,9785
locf,block_L10_N2,glucose,0.4649,0.6582,1.4513,0.5704,9646
locf,block_L10_N2,creatinine,0.4509,0.6353,1.2199,0.5925,9547
locf,block_L10_N2,bilirubin,0.2753,0.5481,0.7570,0.6983,9168
locf,block_L10_N2,bun,0.2931,0.5180,0.8659,0.7234,9124
locf,block_L10_N2,wbc,0.4655,0.6976,1.9636,0.4966,8584
locf,block_L10_N2,sodium,0.3730,0.6014,1.2214,0.6297,8753
locf,block_L10_N2,potassium,0.5356,0.7362,1.7326,0.4135,8794
locf,block_L10_N2,hematocrit,0.5359,0.7378,2.0065,0.4085,10072
locf,block_L10_N2,bicarbonate,0.4816,0.7362,1.6568,0.4576,6686
linear_interp,block_L10_N2,heart_rate,0.3644,0.5272,2.3981,0.7172,107428
linear_interp,block_L10_N2,sbp,0.4153,0.5760,1.8340,0.6599,104694
linear_interp,block_L10_N2,dbp,0.5581,0.7822,2.8388,0.3704,104649
linear_interp,block_L10_N2,mbp,0.6143,0.8525,1.6523,0.2956,107047
linear_interp,block_L10_N2,respiratory_rate,0.5857,0.8387,1.6782,0.2817,106142
linear_interp,block_L10_N2,spo2,0.4188,0.6531,1.6542,0.5093,6747
linear_interp,block_L10_N2,temperature,0.5480,0.8573,2.6433,0.1655,8875
linear_interp,block_L10_N2,gcs,0.5921,0.8256,2.5360,0.2638,9785
linear_interp,block_L10_N2,glucose,0.3622,0.4952,1.4257,0.7568,9646
linear_interp,block_L10_N2,creatinine,0.3282,0.4626,1.0803,0.7839,9547
linear_interp,block_L10_N2,bilirubin,0.1318,0.2789,0.5214,0.9219,9168
linear_interp,block_L10_N2,bun,0.1396,0.2549,0.5613,0.9330,9124
linear_interp,block_L10_N2,wbc,0.3324,0.5075,1.7484,0.7335,8584
linear_interp,block_L10_N2,sodium,0.2353,0.3856,1.1207,0.8478,8753
linear_interp,block_L10_N2,potassium,0.3906,0.5445,1.5707,0.6792,8794
linear_interp,block_L10_N2,hematocrit,0.3913,0.5441,1.8017,0.6784,10072
linear_interp,block_L10_N2,bicarbonate,0.3507,0.5348,1.3500,0.7138,6686
sssd,block_L10_N2,heart_rate,0.5120,0.6651,2.6401,0.5499,107428
sssd,block_L10_N2,sbp,0.5736,0.7206,2.0164,0.4677,104694
sssd,block_L10_N2,dbp,0.6213,0.8053,2.3803,0.3326,104649
sssd,block_L10_N2,mbp,0.7165,0.9048,1.6302,0.2065,107047
sssd,block_L10_N2,respiratory_rate,0.7000,0.8849,1.4604,0.2003,106142
sssd,block_L10_N2,spo2,0.7032,0.9340,1.1047,-0.0037,6747
sssd,block_L10_N2,temperature,0.6941,0.9466,1.1493,-0.0174,8875
sssd,block_L10_N2,gcs,0.7482,0.9685,1.1593,-0.0132,9785
sssd,block_L10_N2,glucose,0.7469,1.0108,1.0943,-0.0131,9646
sssd,block_L10_N2,creatinine,0.7749,1.0008,1.0761,-0.0114,9547
sssd,block_L10_N2,bilirubin,0.6913,1.0030,1.1110,-0.0106,9168
sssd,block_L10_N2,bun,0.7455,0.9913,1.1413,-0.0128,9124
sssd,block_L10_N2,wbc,0.7166,0.9844,1.1143,-0.0025,8584
sssd,block_L10_N2,sodium,0.7589,0.9937,1.1102,-0.0108,8753
sssd,block_L10_N2,potassium,0.7790,0.9655,1.0914,-0.0087,8794
sssd,block_L10_N2,hematocrit,0.7685,0.9648,1.1555,-0.0114,10072
sssd,block_L10_N2,bicarbonate,0.6773,1.0015,1.0653,-0.0037,6686
