model,masking,feature,mae,rmse,n_masked
mean,block_L10_N2,heart_rate,0.0757,0.0858,332
mean,block_L10_N2,sbp,0.1594,0.1946,325
mean,block_L10_N2,dbp,0.0433,0.0577,325
mean,block_L10_N2,respiratory_rate,0.0012,0.0014,331
mean,block_L10_N2,spo2,0.0011,0.0012,331
mean,block_L10_N2,creatinine,1.9333,3.7469,22
mean,block_L10_N2,lactate,0.0028,0.0028,15
mean,block_L10_N2,glucose,0.5116,0.6049,23
mean,block_L10_N2,bun,0.7771,0.8698,22
locf,block_L10_N2,heart_rate,0.0338,0.0446,332
locf,block_L10_N2,sbp,0.1030,0.1378,325
locf,block_L10_N2,dbp,0.0395,0.0593,325
locf,block_L10_N2,respiratory_rate,0.0007,0.0010,331
locf,block_L10_N2,spo2,0.0003,0.0004,331
locf,block_L10_N2,creatinine,1.0365,3.0269,22
locf,block_L10_N2,lactate,0.0007,0.0012,15
locf,block_L10_N2,glucose,0.4630,0.7645,23
locf,block_L10_N2,bun,0.2938,0.4976,22
linear_interp,block_L10_N2,heart_rate,0.0296,0.0415,332
linear_interp,block_L10_N2,sbp,0.0852,0.1157,325
linear_interp,block_L10_N2,dbp,0.0323,0.0494,325
linear_interp,block_L10_N2,respiratory_rate,0.0006,0.0009,331
linear_interp,block_L10_N2,spo2,0.0002,0.0003,331
linear_interp,block_L10_N2,creatinine,0.4319,1.0729,22
linear_interp,block_L10_N2,lactate,0.0007,0.0012,15
linear_interp,block_L10_N2,glucose,0.3752,0.6352,23
linear_interp,block_L10_N2,bun,0.1966,0.3053,22
saits,block_L10_N2,heart_rate,0.0290,0.0411,332
saits,block_L10_N2,sbp,0.0793,0.1046,325
saits,block_L10_N2,dbp,0.0300,0.0461,325
saits,block_L10_N2,respiratory_rate,0.0007,0.0010,331
saits,block_L10_N2,spo2,0.0004,0.0005,331
saits,block_L10_N2,creatinine,0.7263,1.6394,22
saits,block_L10_N2,lactate,0.0004,0.0005,15
saits,block_L10_N2,glucose,0.3243,0.4851,23
saits,block_L10_N2,bun,0.3092,0.4801,22
