model,masking,feature,mae,rmse,n_masked
mean,featurewise,heart_rate,0.0732,0.0916,26002
mean,featurewise,sbp,0.1499,0.1847,23104
mean,featurewise,dbp,0.0460,0.2849,24530
mean,featurewise,respiratory_rate,0.0012,0.0014,25646
mean,featurewise,spo2,0.0610,9.5511,25337
mean,featurewise,creatinine,0.6056,0.9692,1886
mean,featurewise,lactate,0.0029,0.0030,1113
mean,featurewise,glucose,0.5483,0.9459,1744
mean,featurewise,bun,0.6948,0.9374,1832
locf,featurewise,heart_rate,0.0513,0.0715,26002
locf,featurewise,sbp,0.1106,0.1531,23104
locf,featurewise,dbp,0.0435,0.2851,24530
locf,featurewise,respiratory_rate,0.0009,0.0012,25646
locf,featurewise,spo2,0.0604,9.5511,25337
locf,featurewise,creatinine,0.2621,0.4741,1886
locf,featurewise,lactate,0.0012,0.0018,1113
locf,featurewise,glucose,0.5713,1.0224,1744
locf,featurewise,bun,0.3010,0.4865,1832
linear_interp,featurewise,heart_rate,0.0405,0.0571,26002
linear_interp,featurewise,sbp,0.0917,0.1307,23104
linear_interp,featurewise,dbp,0.0379,0.2840,24530
linear_interp,featurewise,respiratory_rate,0.0008,0.0011,25646
linear_interp,featurewise,spo2,0.0603,9.5511,25337
linear_interp,featurewise,creatinine,0.1466,0.3150,1886
linear_interp,featurewise,lactate,0.0008,0.0015,1113
linear_interp,featurewise,glucose,0.5095,0.9355,1744
linear_interp,featurewise,bun,0.1748,0.3074,1832
saits,featurewise,heart_rate,0.0388,0.0531,26002
saits,featurewise,sbp,0.0740,0.1053,23104
saits,featurewise,dbp,0.0254,0.2815,24530
saits,featurewise,respiratory_rate,0.0009,0.0011,25646
saits,featurewise,spo2,0.0604,9.5511,25337
saits,featurewise,creatinine,0.1020,0.1961,1886
saits,featurewise,lactate,0.0005,0.0008,1113
saits,featurewise,glucose,0.4034,0.8276,1744
saits,featurewise,bun,0.1321,0.2201,1832
