model,masking,feature,mae,rmse,mre,r2,n_masked
linear_interp,random_p0.3,heart_rate,0.2718,0.4070,1.1145,0.8322,92891
linear_interp,random_p0.3,sbp,0.4728,0.6443,7.3262,0.5850,87378
linear_interp,random_p0.3,dbp,0.4842,0.6977,1.8459,0.5114,87373
linear_interp,random_p0.3,mbp,0.4989,0.7059,3.6179,0.5043,87281
linear_interp,random_p0.3,respiratory_rate,0.5569,0.7814,1.9899,0.3783,91897
linear_interp,random_p0.3,spo2,0.4892,0.7195,1.2137,0.4828,90963
linear_interp,random_p0.3,temperature,0.1924,0.3581,0.6790,0.8789,4796
linear_interp,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
linear_interp,random_p0.3,glucose,0.5695,0.8804,2.3198,0.2620,7846
linear_interp,random_p0.3,creatinine,0.1570,0.3542,0.5297,0.8756,8371
linear_interp,random_p0.3,bilirubin,0.2166,0.4219,1.6466,0.7796,2324
linear_interp,random_p0.3,bun,0.1754,0.3113,0.7688,0.9052,8206
linear_interp,random_p0.3,wbc,0.4012,0.5953,2.6821,0.6437,8120
linear_interp,random_p0.3,sodium,0.4023,0.5664,1.7089,0.6781,8567
linear_interp,random_p0.3,potassium,0.6136,0.8594,3.0686,0.2545,8828
linear_interp,random_p0.3,hematocrit,0.4135,0.5825,1.8323,0.6596,9534
linear_interp,random_p0.3,bicarbonate,0.4573,0.6323,2.2509,0.6175,8450
