model,masking,feature,mae,rmse,mre,r2,n_masked
locf,random_p0.3,heart_rate,0.3469,0.5259,1.3436,0.7199,92891
locf,random_p0.3,sbp,0.5659,0.7685,9.0481,0.4096,87378
locf,random_p0.3,dbp,0.5661,0.8120,2.1009,0.3384,87373
locf,random_p0.3,mbp,0.5895,0.8295,4.3210,0.3155,87281
locf,random_p0.3,respiratory_rate,0.6384,0.9026,2.2161,0.1705,91897
locf,random_p0.3,spo2,0.5730,0.8528,1.4099,0.2733,90963
locf,random_p0.3,temperature,0.3647,0.6486,1.1637,0.6027,4796
locf,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
locf,random_p0.3,glucose,0.6608,1.0022,2.0973,0.0437,7846
locf,random_p0.3,creatinine,0.3137,0.5962,0.7545,0.6476,8371
locf,random_p0.3,bilirubin,0.3271,0.6215,1.7744,0.5217,2324
locf,random_p0.3,bun,0.3594,0.6169,0.9625,0.6276,8206
locf,random_p0.3,wbc,0.5405,0.7857,2.2709,0.3792,8120
locf,random_p0.3,sodium,0.5012,0.7167,1.5019,0.4846,8567
locf,random_p0.3,potassium,0.7187,0.9831,2.8754,0.0245,8828
locf,random_p0.3,hematocrit,0.5731,0.7841,1.8034,0.3832,9534
locf,random_p0.3,bicarbonate,0.5748,0.7969,1.9019,0.3924,8450
