model,masking,feature,mae,rmse,n_masked
mean,random_p0.3,heart_rate,0.0733,0.0915,12754
mean,random_p0.3,sbp,0.1458,0.1783,11878
mean,random_p0.3,dbp,0.0440,0.1052,12089
mean,random_p0.3,respiratory_rate,0.0012,0.0014,12496
mean,random_p0.3,spo2,0.0010,0.0011,12466
mean,random_p0.3,creatinine,0.6069,0.9766,1079
mean,random_p0.3,lactate,0.0029,0.0030,686
mean,random_p0.3,glucose,0.5811,1.0357,1051
mean,random_p0.3,bun,0.6969,0.9611,1034
locf,random_p0.3,heart_rate,0.0310,0.0489,12754
locf,random_p0.3,sbp,0.0755,0.1172,11878
locf,random_p0.3,dbp,0.0322,0.1015,12089
locf,random_p0.3,respiratory_rate,0.0007,0.0011,12496
locf,random_p0.3,spo2,0.0003,0.0005,12466
locf,random_p0.3,creatinine,0.2960,0.5626,1079
locf,random_p0.3,lactate,0.0013,0.0019,686
locf,random_p0.3,glucose,0.5423,1.0261,1051
locf,random_p0.3,bun,0.3402,0.5613,1034
linear_interp,random_p0.3,heart_rate,0.0242,0.0377,12754
linear_interp,random_p0.3,sbp,0.0619,0.0924,11878
linear_interp,random_p0.3,dbp,0.0279,0.0987,12089
linear_interp,random_p0.3,respiratory_rate,0.0006,0.0009,12496
linear_interp,random_p0.3,spo2,0.0002,0.0004,12466
linear_interp,random_p0.3,creatinine,0.1420,0.3471,1079
linear_interp,random_p0.3,lactate,0.0006,0.0012,686
linear_interp,random_p0.3,glucose,0.4633,0.9449,1051
linear_interp,random_p0.3,bun,0.1715,0.2984,1034
