model,masking,feature,mae,rmse,n_masked
mean,random_p0.3,heart_rate,0.0714,0.0825,254
mean,random_p0.3,sbp,0.1502,0.1850,217
mean,random_p0.3,dbp,0.0438,0.0570,258
mean,random_p0.3,respiratory_rate,0.0012,0.0014,268
mean,random_p0.3,spo2,0.0010,0.0011,291
mean,random_p0.3,creatinine,1.1276,2.2824,19
mean,random_p0.3,lactate,0.0031,0.0032,8
mean,random_p0.3,glucose,0.5209,0.6095,21
mean,random_p0.3,bun,0.7430,0.7829,24
locf,random_p0.3,heart_rate,0.0268,0.0358,254
locf,random_p0.3,sbp,0.0873,0.1187,217
locf,random_p0.3,dbp,0.0324,0.0471,258
locf,random_p0.3,respiratory_rate,0.0007,0.0009,268
locf,random_p0.3,spo2,0.0003,0.0004,291
locf,random_p0.3,creatinine,0.3441,0.8260,19
locf,random_p0.3,lactate,0.0014,0.0020,8
locf,random_p0.3,glucose,0.5518,0.8484,21
locf,random_p0.3,bun,0.3752,0.5161,24
linear_interp,random_p0.3,heart_rate,0.0215,0.0298,254
linear_interp,random_p0.3,sbp,0.0730,0.0961,217
linear_interp,random_p0.3,dbp,0.0281,0.0420,258
linear_interp,random_p0.3,respiratory_rate,0.0006,0.0008,268
linear_interp,random_p0.3,spo2,0.0002,0.0003,291
linear_interp,random_p0.3,creatinine,0.1674,0.4403,19
linear_interp,random_p0.3,lactate,0.0002,0.0003,8
linear_interp,random_p0.3,glucose,0.3818,0.6535,21
linear_interp,random_p0.3,bun,0.1838,0.2862,24
saits,random_p0.3,heart_rate,0.0210,0.0292,254
saits,random_p0.3,sbp,0.0557,0.0813,217
saits,random_p0.3,dbp,0.0221,0.0386,258
saits,random_p0.3,respiratory_rate,0.0008,0.0010,268
saits,random_p0.3,spo2,0.0004,0.0005,291
saits,random_p0.3,creatinine,0.1348,0.2759,19
saits,random_p0.3,lactate,0.0004,0.0005,8
saits,random_p0.3,glucose,0.3530,0.5139,21
saits,random_p0.3,bun,0.1971,0.3296,24
