model,masking,feature,mae,rmse,n_masked
mean,random_p0.3,heart_rate,0.0356,0.0400,24
mean,random_p0.3,sbp,0.1292,0.1639,25
mean,random_p0.3,dbp,0.0403,0.0498,27
mean,random_p0.3,respiratory_rate,0.0010,0.0013,30
mean,random_p0.3,spo2,0.0006,0.0007,27
mean,random_p0.3,creatinine,0.3619,0.3619,1
mean,random_p0.3,lactate,0.0000,0.0000,0
mean,random_p0.3,glucose,0.8379,0.8382,2
mean,random_p0.3,bun,0.7421,0.7421,1
locf,random_p0.3,heart_rate,0.0116,0.0154,24
locf,random_p0.3,sbp,0.0782,0.1133,25
locf,random_p0.3,dbp,0.0373,0.0451,27
locf,random_p0.3,respiratory_rate,0.0007,0.0008,30
locf,random_p0.3,spo2,0.0002,0.0004,27
locf,random_p0.3,creatinine,0.1815,0.1815,1
locf,random_p0.3,lactate,0.0000,0.0000,0
locf,random_p0.3,glucose,0.4089,0.5783,2
locf,random_p0.3,bun,0.7421,0.7421,1
linear_interp,random_p0.3,heart_rate,0.0124,0.0171,24
linear_interp,random_p0.3,sbp,0.0689,0.0802,25
linear_interp,random_p0.3,dbp,0.0295,0.0401,27
linear_interp,random_p0.3,respiratory_rate,0.0006,0.0007,30
linear_interp,random_p0.3,spo2,0.0001,0.0003,27
linear_interp,random_p0.3,creatinine,0.0121,0.0121,1
linear_interp,random_p0.3,lactate,0.0000,0.0000,0
linear_interp,random_p0.3,glucose,0.0736,0.1042,2
linear_interp,random_p0.3,bun,0.2496,0.2496,1
sssd,random_p0.3,heart_rate,0.0432,0.0529,24
sssd,random_p0.3,sbp,0.1102,0.1529,25
sssd,random_p0.3,dbp,0.0876,0.1042,27
sssd,random_p0.3,respiratory_rate,0.0210,0.0332,30
sssd,random_p0.3,spo2,0.0256,0.0323,27
sssd,random_p0.3,creatinine,1.4341,1.4341,1
sssd,random_p0.3,lactate,0.0000,0.0000,0
sssd,random_p0.3,glucose,0.3726,0.4568,2
sssd,random_p0.3,bun,0.1658,0.1658,1
