model,masking,feature,mae,rmse,n_masked
mean,random_p0.5,heart_rate,0.0723,0.0909,216920
mean,random_p0.5,sbp,0.1511,1.2224,203895
mean,random_p0.5,dbp,0.0472,0.8417,204317
mean,random_p0.5,respiratory_rate,0.0012,0.0020,214234
mean,random_p0.5,spo2,0.0081,3.2920,213278
mean,random_p0.5,creatinine,0.5978,0.9672,18537
mean,random_p0.5,lactate,0.0029,0.0030,12281
mean,random_p0.5,glucose,0.5821,0.9468,17861
mean,random_p0.5,bun,0.7126,0.9817,18646
locf,random_p0.5,heart_rate,0.0337,0.0512,216920
locf,random_p0.5,sbp,0.0840,1.2151,203895
locf,random_p0.5,dbp,0.0379,0.8588,204317
locf,random_p0.5,respiratory_rate,0.0007,0.0017,214234
locf,random_p0.5,spo2,0.0074,3.2920,213278
locf,random_p0.5,creatinine,0.3478,0.6692,18537
locf,random_p0.5,lactate,0.0014,0.0020,12281
locf,random_p0.5,glucose,0.5647,0.9997,17861
locf,random_p0.5,bun,0.4179,0.6773,18646
linear_interp,random_p0.5,heart_rate,0.0258,0.0394,216920
linear_interp,random_p0.5,sbp,0.0690,1.2132,203895
linear_interp,random_p0.5,dbp,0.0346,0.9165,204317
linear_interp,random_p0.5,respiratory_rate,0.0006,0.0016,214234
linear_interp,random_p0.5,spo2,0.0074,3.2920,213278
linear_interp,random_p0.5,creatinine,0.1981,0.4178,18537
linear_interp,random_p0.5,lactate,0.0008,0.0014,12281
linear_interp,random_p0.5,glucose,0.5067,0.9452,17861
linear_interp,random_p0.5,bun,0.2426,0.4355,18646
saits,random_p0.5,heart_rate,0.0248,0.0371,216920
saits,random_p0.5,sbp,0.0576,1.2119,203895
saits,random_p0.5,dbp,0.0260,0.8405,204317
saits,random_p0.5,respiratory_rate,0.0008,0.0018,214234
saits,random_p0.5,spo2,0.0075,3.2920,213278
saits,random_p0.5,creatinine,0.1486,0.3660,18537
saits,random_p0.5,lactate,0.0005,0.0008,12281
saits,random_p0.5,glucose,0.4351,0.8216,17861
saits,random_p0.5,bun,0.1835,0.3380,18646
