model,setup,masking,feature,mae,rmse,mre,r2,n_masked
linear_interp,handpicked,random_p0.3,heart_rate,0.3003,0.4380,1.5926,0.8129,6692
linear_interp,handpicked,random_p0.3,respiratory_rate,0.4336,0.6122,2.5813,0.6359,6803
linear_interp,handpicked,random_p0.3,spo2,0.4533,0.6515,2.3677,0.5689,6628
linear_interp,handpicked,random_p0.3,temperature,0.4344,0.6454,1.6659,0.5806,523
linear_interp,handpicked,random_p0.3,sbp,0.4461,0.6224,2.7293,0.5992,4035
linear_interp,handpicked,random_p0.3,dbp,0.4871,0.6785,2.1802,0.5404,3985
linear_interp,handpicked,random_p0.3,mbp,0.4901,0.7261,2.7236,0.4805,3278
linear_interp,handpicked,random_p0.3,glucose,0.5487,0.8708,2.4890,0.3303,2129
linear_interp,handpicked,random_p0.3,lactate,0.3466,0.5807,1.3149,0.6619,1523
linear_interp,handpicked,random_p0.3,creatinine,0.1149,0.2135,0.7048,0.9443,2241
linear_interp,handpicked,random_p0.3,bilirubin,0.1488,0.2571,0.9414,0.9164,729
linear_interp,handpicked,random_p0.3,platelets,0.2076,0.3192,4.0552,0.8932,2020
linear_interp,handpicked,random_p0.3,wbc,0.3487,0.5215,2.0414,0.7311,2012
linear_interp,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
linear_interp,handpicked,random_p0.3,ph,0.4555,0.6357,1.4976,0.5577,2253
linear_interp,handpicked,random_p0.3,pao2,0.5500,0.8579,5.4815,0.2729,2113
linear_interp,handpicked,random_p0.3,paco2,0.4321,0.6240,3.0356,0.6094,2144
linear_interp,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
linear_interp,handpicked,random_p0.3,urine_output,0.5914,0.9376,2.6963,0.1381,6304
linear_interp,handpicked,random_p0.3,norepi_equiv,0.4333,0.7348,15.9022,0.3197,1308
linear_interp,handpicked,random_p0.3,fluid_volume,0.7207,1.1267,3.5255,-0.1621,3864
linear_interp,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
