model,setup,masking,feature,mae,rmse,mre,r2,n_masked
locf,handpicked,random_p0.3,heart_rate,0.4230,0.6133,2.0126,0.6332,6692
locf,handpicked,random_p0.3,respiratory_rate,0.5348,0.7508,2.9830,0.4525,6803
locf,handpicked,random_p0.3,spo2,0.5738,0.8062,2.8694,0.3398,6628
locf,handpicked,random_p0.3,temperature,0.6225,0.8918,2.5170,0.1991,523
locf,handpicked,random_p0.3,sbp,0.5564,0.7513,2.9680,0.4161,4035
locf,handpicked,random_p0.3,dbp,0.5950,0.8154,2.3860,0.3362,3985
locf,handpicked,random_p0.3,mbp,0.5874,0.8563,2.7869,0.2775,3278
locf,handpicked,random_p0.3,glucose,0.6562,1.0150,2.4309,0.0901,2129
locf,handpicked,random_p0.3,lactate,0.4576,0.7605,1.3124,0.4202,1523
locf,handpicked,random_p0.3,creatinine,0.2474,0.4619,0.9339,0.7391,2241
locf,handpicked,random_p0.3,bilirubin,0.2943,0.5749,0.9376,0.5819,729
locf,handpicked,random_p0.3,platelets,0.3588,0.5736,3.5985,0.6551,2020
locf,handpicked,random_p0.3,wbc,0.4710,0.6907,2.0024,0.5283,2012
locf,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
locf,handpicked,random_p0.3,ph,0.5678,0.7799,1.6133,0.3342,2253
locf,handpicked,random_p0.3,pao2,0.6890,1.0871,6.0003,-0.1676,2113
locf,handpicked,random_p0.3,paco2,0.5286,0.7532,3.2485,0.4310,2144
locf,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
locf,handpicked,random_p0.3,urine_output,0.6903,1.0817,2.9945,-0.1471,6304
locf,handpicked,random_p0.3,norepi_equiv,0.5445,0.8744,2.6447,0.0365,1308
locf,handpicked,random_p0.3,fluid_volume,0.8019,1.2617,4.0627,-0.4572,3864
locf,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
