model,setup,masking,feature,mae,rmse,mre,r2,n_masked
mean,handpicked,random_p0.3,heart_rate,0.8131,1.0129,1.0000,-0.0003,6692
mean,handpicked,random_p0.3,respiratory_rate,0.8126,1.0147,1.0000,-0.0001,6803
mean,handpicked,random_p0.3,spo2,0.8138,0.9924,1.0000,-0.0003,6628
mean,handpicked,random_p0.3,temperature,0.7403,0.9972,1.0000,-0.0013,523
mean,handpicked,random_p0.3,sbp,0.7974,0.9833,1.0000,-0.0002,4035
mean,handpicked,random_p0.3,dbp,0.7944,1.0012,1.0000,-0.0009,3985
mean,handpicked,random_p0.3,mbp,0.7742,1.0075,1.0000,-0.0003,3278
mean,handpicked,random_p0.3,glucose,0.7628,1.0646,1.0000,-0.0010,2129
mean,handpicked,random_p0.3,lactate,0.6703,0.9992,1.0000,-0.0008,1523
mean,handpicked,random_p0.3,creatinine,0.6255,0.9050,1.0000,-0.0015,2241
mean,handpicked,random_p0.3,bilirubin,0.5531,0.8891,1.0000,-0.0000,729
mean,handpicked,random_p0.3,platelets,0.7506,0.9768,1.0000,-0.0002,2020
mean,handpicked,random_p0.3,wbc,0.7343,1.0057,1.0000,-0.0002,2012
mean,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
mean,handpicked,random_p0.3,ph,0.7596,0.9564,1.0000,-0.0012,2253
mean,handpicked,random_p0.3,pao2,0.6796,1.0077,1.0000,-0.0033,2113
mean,handpicked,random_p0.3,paco2,0.7479,0.9987,1.0000,-0.0004,2144
mean,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
mean,handpicked,random_p0.3,urine_output,0.7252,1.0101,1.0000,-0.0003,6304
mean,handpicked,random_p0.3,norepi_equiv,0.6791,0.8927,1.0000,-0.0041,1308
mean,handpicked,random_p0.3,fluid_volume,0.7667,1.0459,1.0000,-0.0013,3864
mean,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
