model,setup,masking,feature,mae,rmse,mre,r2,n_masked
mean,sota,random_p0.3,heart_rate,0.7969,0.9938,1.0000,-0.0001,92891
mean,sota,random_p0.3,sbp,0.8060,1.0002,1.0000,-0.0000,87378
mean,sota,random_p0.3,dbp,0.7900,0.9982,1.0000,-0.0000,87373
mean,sota,random_p0.3,mbp,0.7939,1.0026,1.0000,-0.0000,87281
mean,sota,random_p0.3,respiratory_rate,0.7837,0.9910,1.0000,-0.0001,91897
mean,sota,random_p0.3,spo2,0.8172,1.0004,1.0000,-0.0000,90963
mean,sota,random_p0.3,temperature,0.7723,1.0299,1.0000,-0.0016,4796
mean,sota,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
mean,sota,random_p0.3,glucose,0.7235,1.0249,1.0000,-0.0001,7846
mean,sota,random_p0.3,creatinine,0.6418,1.0045,1.0000,-0.0003,8371
mean,sota,random_p0.3,bilirubin,0.5172,0.8994,1.0000,-0.0016,2324
mean,sota,random_p0.3,bun,0.7261,1.0110,1.0000,-0.0004,8206
mean,sota,random_p0.3,wbc,0.7450,0.9972,1.0000,-0.0000,8120
mean,sota,random_p0.3,sodium,0.7261,0.9987,1.0000,-0.0007,8567
mean,sota,random_p0.3,potassium,0.7641,0.9955,1.0000,-0.0002,8828
mean,sota,random_p0.3,hematocrit,0.8127,0.9989,1.0000,-0.0010,9534
mean,sota,random_p0.3,bicarbonate,0.7813,1.0224,1.0000,-0.0001,8450
