model,setup,masking,feature,mae,rmse,mre,r2,n_masked
mrnn,handpicked,random_p0.3,heart_rate,0.9266,1.1215,3.0847,-0.2264,6692
mrnn,handpicked,random_p0.3,respiratory_rate,0.9487,1.1353,3.8505,-0.2520,6803
mrnn,handpicked,random_p0.3,spo2,0.8577,1.1040,3.0072,-0.2380,6628
mrnn,handpicked,random_p0.3,temperature,0.7994,1.0993,2.4266,-0.2168,523
mrnn,handpicked,random_p0.3,sbp,0.9232,1.0968,3.8875,-0.2444,4035
mrnn,handpicked,random_p0.3,dbp,0.9469,1.1322,2.9519,-0.2799,3985
mrnn,handpicked,random_p0.3,mbp,0.9476,1.1319,3.2168,-0.2625,3278
mrnn,handpicked,random_p0.3,glucose,0.9655,1.1614,3.1981,-0.1915,2129
mrnn,handpicked,random_p0.3,lactate,0.9468,1.1300,2.8634,-0.2800,1523
mrnn,handpicked,random_p0.3,creatinine,0.9038,1.0508,3.7737,-0.3503,2241
mrnn,handpicked,random_p0.3,bilirubin,0.8787,1.0208,4.2552,-0.3180,729
mrnn,handpicked,random_p0.3,platelets,0.9311,1.1039,8.6493,-0.2775,2020
mrnn,handpicked,random_p0.3,wbc,0.9177,1.1172,3.6562,-0.2341,2012
mrnn,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
mrnn,handpicked,random_p0.3,ph,0.8137,1.0641,2.1598,-0.2392,2253
mrnn,handpicked,random_p0.3,pao2,0.8866,1.0990,7.4340,-0.1934,2113
mrnn,handpicked,random_p0.3,paco2,0.9293,1.1259,5.5355,-0.2714,2144
mrnn,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
mrnn,handpicked,random_p0.3,urine_output,0.9401,1.1194,3.0939,-0.2285,6304
mrnn,handpicked,random_p0.3,norepi_equiv,0.9302,1.0508,13.2166,-0.3912,1308
mrnn,handpicked,random_p0.3,fluid_volume,0.9993,1.1427,3.6692,-0.1952,3864
mrnn,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
