model,setup,masking,feature,mae,rmse,mre,r2,n_masked
saits,handpicked,random_p0.3,heart_rate,0.8815,1.1243,2.8616,-0.2327,6692
saits,handpicked,random_p0.3,respiratory_rate,0.9120,1.1851,4.3859,-0.3643,6803
saits,handpicked,random_p0.3,spo2,0.8578,1.1032,2.9967,-0.2361,6628
saits,handpicked,random_p0.3,temperature,0.8551,1.0814,2.1113,-0.1775,523
saits,handpicked,random_p0.3,sbp,0.8696,1.1315,4.0447,-0.3245,4035
saits,handpicked,random_p0.3,dbp,0.7913,1.0034,1.0978,-0.0052,3985
saits,handpicked,random_p0.3,mbp,0.7850,1.0904,2.6011,-0.1716,3278
saits,handpicked,random_p0.3,glucose,0.9793,1.1732,3.2904,-0.2158,2129
saits,handpicked,random_p0.3,lactate,0.9551,1.1361,2.9284,-0.2941,1523
saits,handpicked,random_p0.3,creatinine,0.9932,1.1220,4.5732,-0.5394,2241
saits,handpicked,random_p0.3,bilirubin,0.7467,0.9419,2.9899,-0.1222,729
saits,handpicked,random_p0.3,platelets,0.7431,0.9771,1.5872,-0.0009,2020
saits,handpicked,random_p0.3,wbc,0.7618,1.0129,1.4950,-0.0145,2012
saits,handpicked,random_p0.3,fio2,0.0000,0.0000,0.0000,0.0000,0
saits,handpicked,random_p0.3,ph,0.7629,0.9906,1.5501,-0.0739,2253
saits,handpicked,random_p0.3,pao2,0.6600,1.0288,2.6464,-0.0457,2113
saits,handpicked,random_p0.3,paco2,0.9015,1.1038,4.9802,-0.2220,2144
saits,handpicked,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
saits,handpicked,random_p0.3,urine_output,0.7560,1.0125,1.3224,-0.0051,6304
saits,handpicked,random_p0.3,norepi_equiv,0.6081,0.9147,6.8038,-0.0541,1308
saits,handpicked,random_p0.3,fluid_volume,0.6796,1.1914,3.0086,-0.2992,3864
saits,handpicked,random_p0.3,vent_status,0.0000,0.0000,0.0000,0.0000,0
