model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.8038,1.0003,1.0000,-0.0001,87141
mean,random_p0.3,sbp,0.8165,0.9924,1.0000,-0.0013,84923
mean,random_p0.3,dbp,0.7860,0.9964,1.0000,-0.0004,84719
mean,random_p0.3,respiratory_rate,0.8065,1.0216,1.0000,-0.0003,86583
mean,random_p0.3,spo2,0.8095,0.9912,1.0000,-0.0000,86339
mean,random_p0.3,temperature,0.7456,1.0117,1.0000,-0.0013,5237
mean,random_p0.3,glucose,0.7153,1.0014,1.0000,-0.0002,7444
mean,random_p0.3,potassium,0.7674,0.9954,1.0000,-0.0000,8164
mean,random_p0.3,sodium,0.7389,0.9958,1.0000,-0.0000,8085
mean,random_p0.3,chloride,0.7884,1.0180,1.0000,-0.0009,8038
mean,random_p0.3,creatinine,0.6900,1.0117,1.0000,-0.0000,7818
mean,random_p0.3,bun,0.7367,0.9829,1.0000,-0.0003,7766
mean,random_p0.3,wbc,0.7157,0.9841,1.0000,-0.0000,7477
mean,random_p0.3,platelets,0.7535,0.9856,1.0000,-0.0000,7625
mean,random_p0.3,hemoglobin,0.7962,0.9865,1.0000,-0.0003,7625
mean,random_p0.3,hematocrit,0.7849,0.9814,1.0000,-0.0003,8575
mean,random_p0.3,lactate,0.6873,1.0291,1.0000,-0.0003,6065
locf,random_p0.3,heart_rate,0.3298,0.5097,2.1399,0.7403,87141
locf,random_p0.3,sbp,0.4097,0.5883,1.8155,0.6482,84923
locf,random_p0.3,dbp,0.5629,0.8133,2.9165,0.3336,84719
locf,random_p0.3,respiratory_rate,0.6141,0.8871,1.6830,0.2458,86583
locf,random_p0.3,spo2,0.5546,0.8439,1.6590,0.2751,86339
locf,random_p0.3,temperature,0.3248,0.5945,1.1427,0.6542,5237
locf,random_p0.3,glucose,0.6483,0.9705,2.6596,0.0606,7444
locf,random_p0.3,potassium,0.6947,0.9479,2.3607,0.0932,8164
locf,random_p0.3,sodium,0.4860,0.6914,1.3633,0.5180,8085
locf,random_p0.3,chloride,0.4896,0.6979,1.1555,0.5296,8038
locf,random_p0.3,creatinine,0.3163,0.5970,0.7854,0.6518,7818
locf,random_p0.3,bun,0.3480,0.5925,0.8182,0.6364,7766
locf,random_p0.3,wbc,0.4716,0.7109,1.6438,0.4780,7477
locf,random_p0.3,platelets,0.4069,0.6691,1.1902,0.5391,7625
locf,random_p0.3,hemoglobin,0.5855,0.8006,1.4644,0.3412,7625
locf,random_p0.3,hematocrit,0.5729,0.7874,1.8837,0.3562,8575
locf,random_p0.3,lactate,0.4319,0.6583,1.3756,0.5907,6065
linear_interp,random_p0.3,heart_rate,0.2558,0.3898,1.7392,0.8482,87141
linear_interp,random_p0.3,sbp,0.3370,0.4831,1.5206,0.7628,84923
linear_interp,random_p0.3,dbp,0.4776,0.6927,2.4845,0.5166,84719
linear_interp,random_p0.3,respiratory_rate,0.5304,0.7579,1.4405,0.4495,86583
linear_interp,random_p0.3,spo2,0.4740,0.7128,1.3920,0.4828,86339
linear_interp,random_p0.3,temperature,0.1783,0.3327,0.6922,0.8917,5237
linear_interp,random_p0.3,glucose,0.5444,0.8481,2.9001,0.2826,7444
linear_interp,random_p0.3,potassium,0.5908,0.8294,2.3797,0.3058,8164
linear_interp,random_p0.3,sodium,0.3688,0.5109,1.4134,0.7368,8085
linear_interp,random_p0.3,chloride,0.3378,0.4886,1.0239,0.7694,8038
linear_interp,random_p0.3,creatinine,0.1400,0.2974,0.5674,0.9136,7818
linear_interp,random_p0.3,bun,0.1561,0.3002,0.5721,0.9067,7766
linear_interp,random_p0.3,wbc,0.3396,0.5199,1.7683,0.7209,7477
linear_interp,random_p0.3,platelets,0.2388,0.4085,1.2129,0.8282,7625
linear_interp,random_p0.3,hemoglobin,0.4114,0.5797,1.4559,0.6546,7625
linear_interp,random_p0.3,hematocrit,0.4111,0.5839,1.8003,0.6460,8575
linear_interp,random_p0.3,lactate,0.3088,0.4668,1.2870,0.7942,6065
saits,random_p0.3,heart_rate,0.3638,0.5213,2.2650,0.7284,87141
saits,random_p0.3,sbp,0.3202,0.4768,1.4848,0.7689,84923
saits,random_p0.3,dbp,0.3860,0.5796,1.7994,0.6616,84719
saits,random_p0.3,respiratory_rate,0.5226,0.7256,1.2825,0.4954,86583
saits,random_p0.3,spo2,0.5263,0.7423,1.3599,0.4391,86339
saits,random_p0.3,temperature,0.4127,0.6227,1.4154,0.6206,5237
saits,random_p0.3,glucose,0.4882,0.7518,2.3888,0.4363,7444
saits,random_p0.3,potassium,0.5383,0.7292,1.9347,0.4634,8164
saits,random_p0.3,sodium,0.3149,0.4330,1.1598,0.8109,8085
saits,random_p0.3,chloride,0.3000,0.4169,0.9173,0.8321,8038
saits,random_p0.3,creatinine,0.1279,0.2603,0.6012,0.9338,7818
saits,random_p0.3,bun,0.1535,0.2555,0.6675,0.9324,7766
saits,random_p0.3,wbc,0.3219,0.4970,1.5772,0.7449,7477
saits,random_p0.3,platelets,0.2296,0.3828,1.1489,0.8491,7625
saits,random_p0.3,hemoglobin,0.1875,0.2989,0.7028,0.9082,7625
saits,random_p0.3,hematocrit,0.2159,0.3376,1.0032,0.8816,8575
saits,random_p0.3,lactate,0.3703,0.6124,1.4175,0.6457,6065
