model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.7731,0.9662,1.0000,-0.0000,1406
mean,random_p0.3,sbp,0.8407,1.0359,1.0000,-0.0090,1321
mean,random_p0.3,dbp,0.8008,0.9959,1.0000,-0.0137,1346
mean,random_p0.3,mbp,0.7861,0.9694,1.0000,-0.0036,1321
mean,random_p0.3,respiratory_rate,0.8068,0.9850,1.0000,-0.0002,1346
mean,random_p0.3,spo2,0.6643,0.9303,1.0000,-0.0000,100
mean,random_p0.3,temperature,0.5132,0.6045,1.0000,-0.2415,118
mean,random_p0.3,gcs,0.8024,1.0223,1.0000,-0.0074,132
mean,random_p0.3,glucose,0.6007,0.8194,1.0000,-0.0022,107
mean,random_p0.3,creatinine,0.7188,0.9339,1.0000,-0.0024,134
mean,random_p0.3,bilirubin,0.7190,1.0617,1.0000,-0.0076,105
mean,random_p0.3,bun,0.8130,1.0438,1.0000,-0.0011,115
mean,random_p0.3,wbc,0.6642,0.7776,1.0000,-0.0906,109
mean,random_p0.3,sodium,0.5715,0.6969,1.0000,-0.0535,123
mean,random_p0.3,potassium,0.7263,0.9097,1.0000,-0.0137,123
mean,random_p0.3,hematocrit,0.7958,0.9860,1.0000,-0.0123,150
mean,random_p0.3,bicarbonate,0.6730,0.8945,1.0000,-0.0000,98
locf,random_p0.3,heart_rate,0.3073,0.4674,1.7389,0.7660,1406
locf,random_p0.3,sbp,0.3620,0.5273,1.5595,0.7385,1321
locf,random_p0.3,dbp,0.5412,0.7699,3.5875,0.3942,1346
locf,random_p0.3,mbp,0.6343,0.9065,1.7266,0.1223,1321
locf,random_p0.3,respiratory_rate,0.5467,0.8439,1.6082,0.2659,1346
locf,random_p0.3,spo2,0.3468,0.6682,0.9119,0.4840,100
locf,random_p0.3,temperature,0.4788,0.7263,2.1507,-0.7923,118
locf,random_p0.3,gcs,0.6640,0.8747,1.3292,0.2625,132
locf,random_p0.3,glucose,0.4149,0.5616,1.6659,0.5291,107
locf,random_p0.3,creatinine,0.4443,0.6165,1.0218,0.5632,134
locf,random_p0.3,bilirubin,0.2757,0.4873,0.5279,0.7878,105
locf,random_p0.3,bun,0.4112,0.7465,0.7830,0.4880,115
locf,random_p0.3,wbc,0.4847,0.6441,1.8541,0.2518,109
locf,random_p0.3,sodium,0.3210,0.4768,2.9148,0.5070,123
locf,random_p0.3,potassium,0.5228,0.7652,1.0773,0.2828,123
locf,random_p0.3,hematocrit,0.6465,0.8985,1.8997,0.1595,150
locf,random_p0.3,bicarbonate,0.4545,0.6467,1.5631,0.4773,98
linear_interp,random_p0.3,heart_rate,0.2417,0.3643,1.5344,0.8579,1406
linear_interp,random_p0.3,sbp,0.3086,0.4344,1.2392,0.8226,1321
linear_interp,random_p0.3,dbp,0.4577,0.6625,3.2946,0.5515,1346
linear_interp,random_p0.3,mbp,0.5543,0.7854,1.4755,0.3411,1321
linear_interp,random_p0.3,respiratory_rate,0.4671,0.7136,1.3158,0.4749,1346
linear_interp,random_p0.3,spo2,0.2560,0.5378,0.6165,0.6658,100
linear_interp,random_p0.3,temperature,0.3916,0.5768,2.1638,-0.1304,118
linear_interp,random_p0.3,gcs,0.4928,0.6288,1.5226,0.6189,132
linear_interp,random_p0.3,glucose,0.3952,0.5398,1.6854,0.5651,107
linear_interp,random_p0.3,creatinine,0.3235,0.4508,0.9044,0.7664,134
linear_interp,random_p0.3,bilirubin,0.1538,0.3376,0.9078,0.8981,105
linear_interp,random_p0.3,bun,0.2695,0.5997,0.8631,0.6695,115
linear_interp,random_p0.3,wbc,0.3570,0.5408,1.7954,0.4726,109
linear_interp,random_p0.3,sodium,0.2396,0.3534,3.6237,0.7290,123
linear_interp,random_p0.3,potassium,0.3600,0.5208,0.9058,0.6678,123
linear_interp,random_p0.3,hematocrit,0.5183,0.7602,2.1059,0.3983,150
linear_interp,random_p0.3,bicarbonate,0.2796,0.4168,1.2654,0.7829,98
timesfm,random_p0.3,heart_rate,0.2864,0.4257,1.7235,0.8059,1406
timesfm,random_p0.3,sbp,0.3567,0.5160,1.5820,0.7496,1321
timesfm,random_p0.3,dbp,0.5389,0.7709,3.6233,0.3926,1346
timesfm,random_p0.3,mbp,0.6304,0.9047,1.7481,0.1259,1321
timesfm,random_p0.3,respiratory_rate,0.5339,0.8389,1.6174,0.2744,1346
timesfm,random_p0.3,spo2,0.3351,0.6565,0.9187,0.5020,100
timesfm,random_p0.3,temperature,0.4456,0.7218,2.4690,-0.7701,118
timesfm,random_p0.3,gcs,0.5505,0.7557,1.5496,0.4496,132
timesfm,random_p0.3,glucose,0.3909,0.5465,1.6951,0.5542,107
timesfm,random_p0.3,creatinine,0.3587,0.4910,1.0031,0.7229,134
timesfm,random_p0.3,bilirubin,0.1607,0.3371,0.9677,0.8984,105
timesfm,random_p0.3,bun,0.2845,0.6050,0.8977,0.6637,115
timesfm,random_p0.3,wbc,0.3917,0.5658,1.8753,0.4227,109
timesfm,random_p0.3,sodium,0.2493,0.3665,3.6920,0.7087,123
timesfm,random_p0.3,potassium,0.3912,0.5894,0.9838,0.5746,123
timesfm,random_p0.3,hematocrit,0.5637,0.7997,2.3577,0.3341,150
timesfm,random_p0.3,bicarbonate,0.3471,0.5171,1.5644,0.6658,98
