model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,1.4268,1.4274,1.0000,-1232.3755,24
mean,random_p0.3,sbp,0.3728,0.4358,1.0000,-0.2891,10
mean,random_p0.3,dbp,0.7689,0.9145,1.0000,-2.4109,16
mean,random_p0.3,mbp,0.6780,0.8275,1.0000,-0.8494,16
mean,random_p0.3,respiratory_rate,0.6937,0.9779,1.0000,-0.4484,11
mean,random_p0.3,spo2,0.0000,0.0000,0.0000,0.0000,0
mean,random_p0.3,temperature,0.4360,0.5072,1.0000,-0.3531,2
mean,random_p0.3,gcs,1.9943,1.9957,1.0000,-712.0753,2
mean,random_p0.3,glucose,0.5324,0.6449,1.0000,-0.0229,3
mean,random_p0.3,creatinine,0.2298,0.2710,1.0000,-2.5589,2
mean,random_p0.3,bilirubin,0.0000,0.0000,0.0000,0.0000,0
mean,random_p0.3,bun,3.2186,3.2186,1.0000,1.0000,1
mean,random_p0.3,wbc,0.3162,0.3162,1.0000,1.0000,1
mean,random_p0.3,sodium,0.7801,0.7801,1.0000,1.0000,1
mean,random_p0.3,potassium,0.5667,0.5667,1.0000,1.0000,1
mean,random_p0.3,hematocrit,0.3727,0.4050,1.0000,-0.8252,3
mean,random_p0.3,bicarbonate,0.0000,0.0000,0.0000,0.0000,0
locf,random_p0.3,heart_rate,0.0207,0.0466,0.0154,-0.3119,24
locf,random_p0.3,sbp,0.3530,0.4866,2.4380,-0.6075,10
locf,random_p0.3,dbp,1.1417,1.4081,10.2492,-7.0852,16
locf,random_p0.3,mbp,0.6098,0.7565,3.0907,-0.5455,16
locf,random_p0.3,respiratory_rate,0.8720,1.2027,2.7000,-1.1909,11
locf,random_p0.3,spo2,0.0000,0.0000,0.0000,0.0000,0
locf,random_p0.3,temperature,0.4874,0.5298,1.2905,-0.4765,2
locf,random_p0.3,gcs,1.3335,1.4566,0.6806,-378.8530,2
locf,random_p0.3,glucose,0.4618,0.5505,0.9219,0.2546,3
locf,random_p0.3,creatinine,0.2873,0.2873,2.0523,-3.0000,2
locf,random_p0.3,bilirubin,0.0000,0.0000,0.0000,0.0000,0
locf,random_p0.3,bun,0.1656,0.1656,0.0515,1.0000,1
locf,random_p0.3,wbc,0.1548,0.1548,0.4895,1.0000,1
locf,random_p0.3,sodium,0.0000,0.0000,0.0000,1.0000,1
locf,random_p0.3,potassium,0.2506,0.2506,0.4421,1.0000,1
locf,random_p0.3,hematocrit,0.2761,0.2908,0.7998,0.0589,3
locf,random_p0.3,bicarbonate,0.0000,0.0000,0.0000,0.0000,0
linear_interp,random_p0.3,heart_rate,0.0184,0.0438,0.0138,-0.1618,24
linear_interp,random_p0.3,sbp,0.2939,0.4393,1.0882,-0.3101,10
linear_interp,random_p0.3,dbp,0.7439,0.8649,7.7936,-2.0507,16
linear_interp,random_p0.3,mbp,0.5006,0.5892,3.3493,0.0626,16
linear_interp,random_p0.3,respiratory_rate,0.6463,0.7364,2.1546,0.1787,11
linear_interp,random_p0.3,spo2,0.0000,0.0000,0.0000,0.0000,0
linear_interp,random_p0.3,temperature,0.6006,0.6809,1.4532,-1.4386,2
linear_interp,random_p0.3,gcs,0.2840,0.4016,0.1373,-27.8800,2
linear_interp,random_p0.3,glucose,0.4618,0.5656,0.6083,0.2131,3
linear_interp,random_p0.3,creatinine,0.1226,0.1272,0.7229,0.2156,2
linear_interp,random_p0.3,bilirubin,0.0000,0.0000,0.0000,0.0000,0
linear_interp,random_p0.3,bun,0.1656,0.1656,0.0515,1.0000,1
linear_interp,random_p0.3,wbc,0.1866,0.1866,0.5901,1.0000,1
linear_interp,random_p0.3,sodium,0.0912,0.0912,0.1170,1.0000,1
linear_interp,random_p0.3,potassium,0.1139,0.1139,0.2010,1.0000,1
linear_interp,random_p0.3,hematocrit,0.3244,0.3257,1.1205,-0.1807,3
linear_interp,random_p0.3,bicarbonate,0.0000,0.0000,0.0000,0.0000,0
timesfm,random_p0.3,heart_rate,0.0164,0.0438,0.0124,-0.1602,24
timesfm,random_p0.3,sbp,0.3445,0.4904,2.2087,-0.6328,10
timesfm,random_p0.3,dbp,0.5792,0.6337,5.8692,-0.6378,16
timesfm,random_p0.3,mbp,0.4743,0.6030,2.9270,0.0180,16
timesfm,random_p0.3,respiratory_rate,0.6461,0.7649,2.3951,0.1138,11
timesfm,random_p0.3,spo2,0.0000,0.0000,0.0000,0.0000,0
timesfm,random_p0.3,temperature,0.4937,0.6532,0.8490,-1.2442,2
timesfm,random_p0.3,gcs,0.0733,0.1036,0.0354,-0.9214,2
timesfm,random_p0.3,glucose,0.5178,0.6378,0.6702,-0.0007,3
timesfm,random_p0.3,creatinine,0.4322,0.4558,2.4401,-9.0653,2
timesfm,random_p0.3,bilirubin,0.0000,0.0000,0.0000,0.0000,0
timesfm,random_p0.3,bun,1.2703,1.2703,0.3947,1.0000,1
timesfm,random_p0.3,wbc,0.1548,0.1548,0.4895,1.0000,1
timesfm,random_p0.3,sodium,0.0000,0.0000,0.0000,1.0000,1
timesfm,random_p0.3,potassium,0.6042,0.6042,1.0662,1.0000,1
timesfm,random_p0.3,hematocrit,0.3244,0.3257,1.1205,-0.1807,3
timesfm,random_p0.3,bicarbonate,0.0000,0.0000,0.0000,0.0000,0
