model,masking,feature,mae,rmse,mre,r2,n_masked
timesfm,random_p0.3,heart_rate,0.5237,0.6753,1.6431,0.5382,92891
timesfm,random_p0.3,sbp,0.5208,0.6737,4.3515,0.5462,87378
timesfm,random_p0.3,dbp,0.6643,0.8512,1.4980,0.2729,87373
timesfm,random_p0.3,mbp,0.4608,0.6130,3.0576,0.6262,87281
timesfm,random_p0.3,respiratory_rate,0.7783,0.9893,1.7678,0.0035,91897
timesfm,random_p0.3,spo2,0.7055,0.9223,1.1816,0.1500,90963
timesfm,random_p0.3,temperature,0.8746,1.1631,1.9949,-0.2773,4796
timesfm,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
timesfm,random_p0.3,glucose,0.7152,1.0225,2.1625,0.0046,7846
timesfm,random_p0.3,creatinine,0.5855,0.9697,1.2729,0.0677,8371
timesfm,random_p0.3,bilirubin,0.5745,0.9907,3.0738,-0.2153,2324
timesfm,random_p0.3,bun,0.7494,1.0739,2.3882,-0.1287,8206
timesfm,random_p0.3,wbc,0.6784,0.9547,2.3588,0.0835,8120
timesfm,random_p0.3,sodium,0.7609,1.0369,1.9503,-0.0788,8567
timesfm,random_p0.3,potassium,0.7168,0.9617,2.1570,0.0666,8828
timesfm,random_p0.3,hematocrit,0.8012,0.9904,1.5900,0.0158,9534
timesfm,random_p0.3,bicarbonate,0.7772,1.0117,2.4813,0.0208,8450
