model,masking,feature,mae,rmse,mre,r2,n_masked
timesfm_sapbert,random_p0.3,heart_rate,0.2572,0.3669,0.9979,0.8637,92891
timesfm_sapbert,random_p0.3,sbp,0.4061,0.5450,6.0073,0.7031,87378
timesfm_sapbert,random_p0.3,dbp,0.4013,0.5743,1.4232,0.6690,87373
timesfm_sapbert,random_p0.3,mbp,0.4153,0.5813,2.7986,0.6638,87281
timesfm_sapbert,random_p0.3,respiratory_rate,0.4480,0.6241,1.4275,0.6034,91897
timesfm_sapbert,random_p0.3,spo2,0.4426,0.6112,0.9560,0.6267,90963
timesfm_sapbert,random_p0.3,temperature,0.4464,0.6686,1.1675,0.5779,4796
timesfm_sapbert,random_p0.3,gcs,0.0000,0.0000,0.0000,0.0000,0
timesfm_sapbert,random_p0.3,glucose,0.7745,1.0709,2.2397,-0.0918,7846
timesfm_sapbert,random_p0.3,creatinine,0.6625,1.0363,1.4640,-0.0648,8371
timesfm_sapbert,random_p0.3,bilirubin,0.6224,1.0397,4.0046,-0.3385,2324
timesfm_sapbert,random_p0.3,bun,0.7809,1.0749,2.0727,-0.1307,8206
timesfm_sapbert,random_p0.3,wbc,0.8108,1.0639,2.8880,-0.1382,8120
timesfm_sapbert,random_p0.3,sodium,0.7502,1.0161,1.7967,-0.0358,8567
timesfm_sapbert,random_p0.3,potassium,0.7833,1.0144,1.7397,-0.0386,8828
timesfm_sapbert,random_p0.3,hematocrit,0.8065,1.0149,1.9019,-0.0333,9534
timesfm_sapbert,random_p0.3,bicarbonate,1.0045,1.2861,3.6818,-0.5823,8450
