task,subset,variant,alpha_init,alpha_final,kgi_mag,auroc,auprc,timestamp,mae,rmse
ihm,no_treatments,vanilla,1.0,0.0,0.0,0.8972304261940974,0.5869485986494705,2026-03-04T11:35:12.045132,,
ihm,core,vanilla,1.0,0.0,0.0,0.8892375416827095,0.5631546636804973,2026-03-04T11:35:16.644996,,
ihm,emergency,vanilla,1.0,0.0,0.0,0.8312653047945266,0.4553347799891467,2026-03-04T11:35:17.386421,,
ihm,full,vanilla,1.0,0.0,0.0,0.90629565500742,0.5955960845372704,2026-03-04T11:35:23.079570,,
ihm,core,dki_fixed,1.0,1.0,0.5109965801239014,0.8864037450587241,0.5497381818889229,2026-03-04T11:39:31.670033,,
ihm,no_treatments,dki_fixed,1.0,1.0,0.3561597466468811,0.9002631419175698,0.5811906559139249,2026-03-04T11:41:11.207804,,
ihm,emergency,dki_fixed,1.0,1.0,0.2726416885852813,0.8272817352815878,0.4515715541327013,2026-03-04T11:42:31.169417,,
ihm,full,dki_fixed,1.0,1.0,0.3393860459327698,0.897649398746848,0.5727475391912275,2026-03-04T11:43:22.372303,,
ihm,no_treatments,dki_adaptive,1.0,0.0024402700364589,0.0035072765313088,0.9026764289448936,0.5932201694228793,2026-03-04T11:46:13.735922,,
ihm,core,dki_adaptive,1.0,0.0032069894950836,0.0107077695429325,0.8838485376436144,0.5626842040511264,2026-03-04T11:46:53.712121,,
ihm,full,dki_adaptive,1.0,0.002019174862653,0.0052582332864403,0.896911745756542,0.5844682395163779,2026-03-04T11:49:18.103054,,
ihm,emergency,dki_adaptive,1.0,-0.0020533266942948,0.0076788309961557,0.8314608936322063,0.4619122804083083,2026-03-04T11:50:27.338859,,
ihm,no_treatments,dki_adaptive,1.0,0.0602286867797374,0.0650604814291,0.902525414380634,0.5880338681928868,2026-03-04T14:27:41.387837,,
ihm,full,dki_adaptive,1.0,0.0013116678455844,0.0026027779094874,0.9032200301414312,0.5865244484256318,2026-03-04T14:30:51.954939,,
ihm,full,dki_adaptive,1.0,0.0,0.0,0.902681296250612,0.5850937469812572,2026-03-04T15:23:12.095889,,
ihm,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9016676157912816,0.5975568225043889,2026-03-04T15:25:54.814039,,
ihm,core,dki_adaptive,1.0,0.0,0.0,0.8877989966689697,0.5600388628972518,2026-03-04T15:37:40.386882,,
ihm,emergency,dki_adaptive,1.0,0.0,0.0,0.8312803550161557,0.4495261009628106,2026-03-04T15:41:35.946183,,
los,core,vanilla,1.0,0.0,0.0,,,2026-03-04T16:26:30.707450,2.3337302207946777,4.882303489093968
los,full,vanilla,1.0,0.0,0.0,,,2026-03-04T16:32:05.300715,2.110180139541626,4.751552127424144
los,full,dki_adaptive,1.0,0.0,0.0,,,2026-03-04T16:43:56.625358,2.127079725265503,4.758537049394894
los,no_treatments,vanilla,1.0,0.0,0.0,,,2026-03-04T16:48:42.550328,2.195199966430664,4.785151666133008
los,no_treatments,dki_adaptive,1.0,0.0,0.0,,,2026-03-04T16:59:10.795359,2.224238872528076,4.793522859486428
los,core,vanilla,1.0,0.0,0.0,,,2026-03-04T17:04:08.331269,2.2081456184387207,4.792174182496473
los,core,dki_adaptive,1.0,0.0,0.0,,,2026-03-04T17:15:57.125405,2.2338175773620605,4.782079288146029
los,emergency,vanilla,1.0,0.0,0.0,,,2026-03-04T17:22:05.986783,2.3504018783569336,4.96259757073328
ss,full,vanilla,1.0,0.0,0.0,0.9785879378234804,0.0760819898011636,2026-03-04T17:24:41.273967,,
los,emergency,dki_adaptive,1.0,0.0,0.0,,,2026-03-04T17:28:17.141569,2.230337142944336,4.940702534500922
ss,full,dki_adaptive,1.0,0.0,0.0,0.9635780452934752,0.0595373996990065,2026-03-04T19:33:57.692248,,
ss,no_treatments,vanilla,1.0,0.0,0.0,0.9703110164113988,0.0474079602143985,2026-03-04T20:10:11.378519,,
ss,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9039909696967816,0.0060647160647412,2026-03-04T22:19:47.705166,,
ss,core,vanilla,1.0,0.0,0.0,0.9400092525506089,0.0186964117597847,2026-03-04T23:04:00.698987,,
ss,core,dki_adaptive,1.0,0.0,0.0,0.8055666474543559,0.0030076699565982,2026-03-04T23:58:07.977992,,
ss,emergency,vanilla,1.0,0.0,0.0,0.9329148870067892,0.0168377166798894,2026-03-05T00:31:43.581496,,
ss,emergency,dki_adaptive,1.0,0.0,0.0,0.7899133816976753,0.0019652806901637,2026-03-05T01:36:30.532129,,
vr,full,vanilla,1.0,0.0,0.0,0.9347142400221292,0.5223209402422694,2026-03-05T02:13:22.696397,,
vr,full,dki_adaptive,1.0,0.0,0.0,0.9305890451093324,0.4896646963044847,2026-03-05T03:03:37.721943,,
vr,no_treatments,vanilla,1.0,0.0,0.0,0.932005184594729,0.5016770473598018,2026-03-05T03:48:19.209215,,
vr,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9299536136203744,0.4808181416007933,2026-03-05T05:06:16.585012,,
vr,core,vanilla,1.0,0.0,0.0,0.9331167000081252,0.5277513018311715,2026-03-05T06:21:58.197373,,
vr,core,dki_adaptive,1.0,0.0,0.0,0.9308108530398554,0.480465373205992,2026-03-05T07:10:22.538966,,
vr,emergency,vanilla,1.0,0.0,0.0,0.9282392914829424,0.5014958319481475,2026-03-05T07:53:21.764526,,
vr,emergency,dki_adaptive,1.0,0.0,0.0,0.9268454116349112,0.4879141916127875,2026-03-05T08:48:03.206441,,
los,no_treatments,dki_adaptive,1.0,0.0,0.0,,,2026-03-05T21:46:25.071017,2.177827835083008,4.779108502877434
los,full,dki_adaptive,1.0,0.0,0.0,,,2026-03-05T21:46:54.235097,2.1995344161987305,4.751421866175031
ihm,core,dki_adaptive,1.0,0.0,0.0,0.8853634865484321,0.5584193794119526,2026-03-05T21:47:38.717069,,
ihm,emergency,dki_adaptive,1.0,0.0,0.0,0.8260388431490239,0.4563679245086351,2026-03-05T21:47:44.471275,,
ihm,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9019793795312376,0.5930906743939764,2026-03-05T21:47:45.398843,,
ihm,full,dki_adaptive,1.0,0.0,0.0,0.9022469532587508,0.5945123671502767,2026-03-05T21:50:09.287913,,
los,core,dki_adaptive,1.0,0.0,0.0,,,2026-03-05T21:51:55.512204,2.076017379760742,4.788295367035398
los,emergency,dki_adaptive,1.0,0.0,0.0,,,2026-03-05T21:54:15.293860,2.351814031600952,4.952671162604828
ss,emergency,dki_adaptive,1.0,0.0,0.0,0.7969686697116757,0.0020818247646632,2026-03-05T22:37:07.872421,,
vr,emergency,dki_adaptive,1.0,0.0,0.0,0.9157996423471432,0.3859735521520428,2026-03-05T22:39:37.735753,,
vr,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9273199390319508,0.473505447493236,2026-03-05T22:39:38.347751,,
vr,full,dki_adaptive,1.0,0.0,0.0,0.9327630641395884,0.5027276442029791,2026-03-05T22:42:45.022831,,
vr,core,dki_adaptive,1.0,0.0,0.0,0.9312709003518476,0.4985457678361811,2026-03-05T22:45:02.651477,,
ss,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9375467378892626,0.0188650390781283,2026-03-05T23:22:44.454476,,
ss,core,dki_adaptive,1.0,0.0,0.0,0.7802637529632985,0.0018908173439333,2026-03-06T00:02:20.486529,,
ss,full,dki_adaptive,1.0,0.0,0.0,0.9320948891633258,0.0219369756428088,2026-03-06T00:06:13.028497,,
los,full,vanilla,1.0,0.0,0.0,,,2026-03-06T12:39:38.141919,2.1119508743286133,4.74929121652128
ihm,full,vanilla,1.0,0.0,0.0,0.903324805301367,0.5954785272655817,2026-03-06T12:39:50.004820,,
los,no_treatments,vanilla,1.0,0.0,0.0,,,2026-03-06T12:41:37.556540,2.1420912742614746,4.726217865793049
ihm,no_treatments,vanilla,1.0,0.0,0.0,0.9052254881843592,0.6052071800780863,2026-03-06T12:42:03.546313,,
ihm,core,vanilla,1.0,0.0,0.0,0.8864818781242019,0.5677583837936073,2026-03-06T12:44:25.268019,,
los,core,vanilla,1.0,0.0,0.0,,,2026-03-06T12:44:37.752150,2.256579160690308,4.791908501313536
ihm,emergency,vanilla,1.0,0.0,0.0,0.836194476530236,0.4665715366467139,2026-03-06T12:46:31.630625,,
los,emergency,vanilla,1.0,0.0,0.0,,,2026-03-06T12:47:22.816868,2.266562938690185,4.949644388082991
los,full,vanilla,1.0,0.0,0.0,,,2026-03-06T12:58:44.752104,2.173694133758545,4.754264723992123
ihm,full,vanilla,1.0,0.0,0.0,0.9027452116599128,0.5987318620780466,2026-03-06T12:58:56.557277,,
los,no_treatments,vanilla,1.0,0.0,0.0,,,2026-03-06T13:00:35.682135,2.084425210952759,4.7215058824332266
ihm,no_treatments,vanilla,1.0,0.0,0.0,0.9013147361267058,0.5957421994621843,2026-03-06T13:01:01.140304,,
ihm,core,vanilla,1.0,0.0,0.0,0.8871089920399056,0.5587706727166278,2026-03-06T13:02:47.427460,,
los,core,vanilla,1.0,0.0,0.0,,,2026-03-06T13:03:10.435297,2.098896026611328,4.777130546397514
ihm,emergency,vanilla,1.0,0.0,0.0,0.8330963723970481,0.4670430494504552,2026-03-06T13:05:27.663398,,
los,emergency,vanilla,1.0,0.0,0.0,,,2026-03-06T13:05:45.786611,2.4421393871307373,4.933954052065202
ss,full,vanilla,1.0,0.0,0.0,0.9904673614386428,0.1499058429726296,2026-03-06T13:24:58.478756,,
vr,full,vanilla,1.0,0.0,0.0,0.936606341895738,0.5354802621195976,2026-03-06T13:29:02.466820,,
ss,no_treatments,vanilla,1.0,0.0,0.0,0.9860768603619258,0.1477978412279981,2026-03-06T14:00:01.456773,,
vr,no_treatments,vanilla,1.0,0.0,0.0,0.9377621976726696,0.5480677535545038,2026-03-06T14:07:24.248095,,
ss,core,vanilla,1.0,0.0,0.0,0.945196091626432,0.0211643690584462,2026-03-06T14:20:44.571301,,
ss,emergency,vanilla,1.0,0.0,0.0,0.9462247615397984,0.0143219089357619,2026-03-06T14:38:56.323553,,
vr,core,vanilla,1.0,0.0,0.0,0.9360513673882204,0.5502105819717917,2026-03-06T14:47:48.063553,,
vr,emergency,vanilla,1.0,0.0,0.0,0.93014172763735,0.515037968073556,2026-03-06T15:19:54.639211,,
ihm,full,vanilla,1.0,0.0,0.0,0.9033773209683276,0.5968228530921299,2026-03-06T15:36:56.872181,,
ihm,full,dki_adaptive,1.0,0.0,0.0,0.904296088966151,0.6000357192385442,2026-03-06T15:39:17.340393,,
ihm,full,vanilla,1.0,0.0,0.0,0.9059240746419264,0.5972445482262911,2026-03-06T15:44:21.834313,,
ihm,full,dki_adaptive,1.0,0.0,0.0,0.9038286995302024,0.5924502183232019,2026-03-06T15:46:54.535915,,
ihm,full,dki_adaptive,1.0,0.0,0.0,0.904506792068956,0.6064765069772363,2026-03-06T15:50:23.848854,,
ihm,no_treatments,vanilla,1.0,0.0,0.0,0.9063088479676568,0.6054375976467191,2026-03-06T15:52:16.496419,,
ihm,no_treatments,dki_adaptive,1.0,0.0,0.0,0.89905041427176,0.5917990388709723,2026-03-06T15:54:26.237738,,
ihm,no_treatments,dki_adaptive,1.0,0.0,0.0,0.9047392699605006,0.6040249422700374,2026-03-06T15:57:51.937595,,
ihm,core,vanilla,1.0,0.0,0.0,0.8878082189324359,0.5652311460993718,2026-03-06T16:00:09.617868,,
ihm,core,dki_adaptive,1.0,0.0,0.0,0.8888286880023731,0.5614276077144852,2026-03-06T16:02:43.291150,,
ihm,core,dki_adaptive,1.0,0.0,0.0,0.8866537708682531,0.5603204446395057,2026-03-06T16:07:25.910659,,
ihm,emergency,vanilla,1.0,0.0,0.0,0.8307859392247714,0.4643499161361501,2026-03-06T16:09:46.138544,,
ihm,emergency,dki_adaptive,1.0,0.0,0.0,0.8321974578830755,0.4643254572789305,2026-03-06T16:13:07.356877,,
ihm,emergency,dki_adaptive,1.0,0.0,0.0,0.8348323354075741,0.4572278556601206,2026-03-06T16:16:37.278387,,
los,full,vanilla,1.0,0.0,0.0,,,2026-03-06T16:18:37.885968,2.1795897483825684,4.751834916519359
los,full,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:21:18.141455,2.151365041732788,4.7316570474747
los,full,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:24:32.118040,2.101731777191162,4.754654260494744
los,no_treatments,vanilla,1.0,0.0,0.0,,,2026-03-06T16:26:33.111071,2.178476572036743,4.707919392351871
los,no_treatments,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:30:25.691203,2.2094264030456543,4.81642921856851
los,no_treatments,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:34:01.449590,2.1122922897338867,4.732123415513729
los,core,vanilla,1.0,0.0,0.0,,,2026-03-06T16:36:15.025825,2.1516242027282715,4.803672124989321
los,core,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:39:08.708298,2.237306594848633,4.775510247415342
los,core,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:43:59.108906,2.1447432041168213,4.804872686027244
los,emergency,vanilla,1.0,0.0,0.0,,,2026-03-06T16:46:01.037561,2.433704376220703,4.930970715638689
los,emergency,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:50:04.765833,2.3098413944244385,4.9322520505877785
los,emergency,dki_adaptive,1.0,0.0,0.0,,,2026-03-06T16:53:32.955703,2.3391313552856445,4.932354527535782
ss,full,vanilla,1.0,0.0,0.0,0.9808882758877484,0.0959462305178078,2026-03-06T17:16:32.485370,,
ss,full,dki_adaptive,1.0,0.0,0.0,0.9849641689111196,0.2036366662612322,2026-03-06T17:49:34.587161,,
