model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.8038,1.0003,1.0000,-0.0001,87141
mean,random_p0.3,sbp,0.8165,0.9924,1.0000,-0.0013,84923
mean,random_p0.3,dbp,0.7860,0.9964,1.0000,-0.0004,84719
mean,random_p0.3,mbp,0.8065,1.0216,1.0000,-0.0003,86583
mean,random_p0.3,respiratory_rate,0.8095,0.9912,1.0000,-0.0000,86339
mean,random_p0.3,spo2,0.7456,1.0117,1.0000,-0.0013,5237
mean,random_p0.3,temperature,0.7153,1.0014,1.0000,-0.0002,7444
mean,random_p0.3,gcs,0.7674,0.9954,1.0000,-0.0000,8164
mean,random_p0.3,glucose,0.7389,0.9958,1.0000,-0.0000,8085
mean,random_p0.3,creatinine,0.7884,1.0180,1.0000,-0.0009,8038
mean,random_p0.3,bilirubin,0.6900,1.0117,1.0000,-0.0000,7818
mean,random_p0.3,bun,0.7367,0.9829,1.0000,-0.0003,7766
mean,random_p0.3,wbc,0.7157,0.9841,1.0000,-0.0000,7477
mean,random_p0.3,sodium,0.7535,0.9856,1.0000,-0.0000,7625
mean,random_p0.3,potassium,0.7962,0.9865,1.0000,-0.0003,7625
mean,random_p0.3,hematocrit,0.7849,0.9814,1.0000,-0.0003,8575
mean,random_p0.3,bicarbonate,0.6873,1.0291,1.0000,-0.0003,6065
locf,random_p0.3,heart_rate,0.3298,0.5097,2.1399,0.7403,87141
locf,random_p0.3,sbp,0.4097,0.5883,1.8155,0.6482,84923
locf,random_p0.3,dbp,0.5629,0.8133,2.9165,0.3336,84719
locf,random_p0.3,mbp,0.6141,0.8871,1.6830,0.2458,86583
locf,random_p0.3,respiratory_rate,0.5546,0.8439,1.6590,0.2751,86339
locf,random_p0.3,spo2,0.3248,0.5945,1.1427,0.6542,5237
locf,random_p0.3,temperature,0.6483,0.9705,2.6596,0.0606,7444
locf,random_p0.3,gcs,0.6947,0.9479,2.3607,0.0932,8164
locf,random_p0.3,glucose,0.4860,0.6914,1.3633,0.5180,8085
locf,random_p0.3,creatinine,0.4896,0.6979,1.1555,0.5296,8038
locf,random_p0.3,bilirubin,0.3163,0.5970,0.7854,0.6518,7818
locf,random_p0.3,bun,0.3480,0.5925,0.8182,0.6364,7766
locf,random_p0.3,wbc,0.4716,0.7109,1.6438,0.4780,7477
locf,random_p0.3,sodium,0.4069,0.6691,1.1902,0.5391,7625
locf,random_p0.3,potassium,0.5855,0.8006,1.4644,0.3412,7625
locf,random_p0.3,hematocrit,0.5729,0.7874,1.8837,0.3562,8575
locf,random_p0.3,bicarbonate,0.4319,0.6583,1.3756,0.5907,6065
linear_interp,random_p0.3,heart_rate,0.2558,0.3898,1.7392,0.8482,87141
linear_interp,random_p0.3,sbp,0.3370,0.4831,1.5206,0.7628,84923
linear_interp,random_p0.3,dbp,0.4776,0.6927,2.4845,0.5166,84719
linear_interp,random_p0.3,mbp,0.5304,0.7579,1.4405,0.4495,86583
linear_interp,random_p0.3,respiratory_rate,0.4740,0.7128,1.3920,0.4828,86339
linear_interp,random_p0.3,spo2,0.1783,0.3327,0.6922,0.8917,5237
linear_interp,random_p0.3,temperature,0.5444,0.8481,2.9001,0.2826,7444
linear_interp,random_p0.3,gcs,0.5908,0.8294,2.3797,0.3058,8164
linear_interp,random_p0.3,glucose,0.3688,0.5109,1.4134,0.7368,8085
linear_interp,random_p0.3,creatinine,0.3378,0.4886,1.0239,0.7694,8038
linear_interp,random_p0.3,bilirubin,0.1400,0.2974,0.5674,0.9136,7818
linear_interp,random_p0.3,bun,0.1561,0.3002,0.5721,0.9067,7766
linear_interp,random_p0.3,wbc,0.3396,0.5199,1.7683,0.7209,7477
linear_interp,random_p0.3,sodium,0.2388,0.4085,1.2129,0.8282,7625
linear_interp,random_p0.3,potassium,0.4114,0.5797,1.4559,0.6546,7625
linear_interp,random_p0.3,hematocrit,0.4111,0.5839,1.8003,0.6460,8575
linear_interp,random_p0.3,bicarbonate,0.3088,0.4668,1.2870,0.7942,6065
timesfm_sapbert,random_p0.3,heart_rate,0.2793,0.3879,1.8569,0.8496,87141
timesfm_sapbert,random_p0.3,sbp,0.3259,0.4432,1.3351,0.8003,84923
timesfm_sapbert,random_p0.3,dbp,0.5460,0.7236,2.3456,0.4725,84719
timesfm_sapbert,random_p0.3,mbp,0.5840,0.7560,1.3723,0.4522,86583
timesfm_sapbert,random_p0.3,respiratory_rate,0.4186,0.5957,1.1401,0.6388,86339
timesfm_sapbert,random_p0.3,spo2,0.3664,0.5565,0.9893,0.6971,5237
timesfm_sapbert,random_p0.3,temperature,0.6914,0.9613,1.9333,0.0783,7444
timesfm_sapbert,random_p0.3,gcs,1.9644,2.4411,9.0973,-5.0136,8164
timesfm_sapbert,random_p0.3,glucose,0.7860,1.0462,1.6510,-0.1037,8085
timesfm_sapbert,random_p0.3,creatinine,0.7900,1.0242,1.2956,-0.0131,8038
timesfm_sapbert,random_p0.3,bilirubin,0.7589,1.0974,2.4116,-0.1767,7818
timesfm_sapbert,random_p0.3,bun,0.7486,1.0063,1.6184,-0.0485,7766
timesfm_sapbert,random_p0.3,wbc,0.7555,1.0246,2.0587,-0.0840,7477
timesfm_sapbert,random_p0.3,sodium,0.8157,1.0418,2.4381,-0.1174,7625
timesfm_sapbert,random_p0.3,potassium,0.7815,0.9758,1.3087,0.0213,7625
timesfm_sapbert,random_p0.3,hematocrit,0.7379,0.9369,2.1844,0.0884,8575
timesfm_sapbert,random_p0.3,bicarbonate,0.7051,1.0103,1.9771,0.0360,6065
