model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.8038,1.0003,1.0000,-0.0001,87141
mean,random_p0.3,sbp,0.8165,0.9924,1.0000,-0.0013,84923
mean,random_p0.3,dbp,0.7860,0.9964,1.0000,-0.0004,84719
mean,random_p0.3,mbp,0.8065,1.0216,1.0000,-0.0003,86583
mean,random_p0.3,respiratory_rate,0.8095,0.9912,1.0000,-0.0000,86339
mean,random_p0.3,spo2,0.7456,1.0117,1.0000,-0.0013,5237
mean,random_p0.3,temperature,0.7153,1.0014,1.0000,-0.0002,7444
mean,random_p0.3,gcs,0.7674,0.9954,1.0000,-0.0000,8164
mean,random_p0.3,glucose,0.7389,0.9958,1.0000,-0.0000,8085
mean,random_p0.3,creatinine,0.7884,1.0180,1.0000,-0.0009,8038
mean,random_p0.3,bilirubin,0.6900,1.0117,1.0000,-0.0000,7818
mean,random_p0.3,bun,0.7367,0.9829,1.0000,-0.0003,7766
mean,random_p0.3,wbc,0.7157,0.9841,1.0000,-0.0000,7477
mean,random_p0.3,sodium,0.7535,0.9856,1.0000,-0.0000,7625
mean,random_p0.3,potassium,0.7962,0.9865,1.0000,-0.0003,7625
mean,random_p0.3,hematocrit,0.7849,0.9814,1.0000,-0.0003,8575
mean,random_p0.3,bicarbonate,0.6873,1.0291,1.0000,-0.0003,6065
locf,random_p0.3,heart_rate,0.3298,0.5097,2.1399,0.7403,87141
locf,random_p0.3,sbp,0.4097,0.5883,1.8155,0.6482,84923
locf,random_p0.3,dbp,0.5629,0.8133,2.9165,0.3336,84719
locf,random_p0.3,mbp,0.6141,0.8871,1.6830,0.2458,86583
locf,random_p0.3,respiratory_rate,0.5546,0.8439,1.6590,0.2751,86339
locf,random_p0.3,spo2,0.3248,0.5945,1.1427,0.6542,5237
locf,random_p0.3,temperature,0.6483,0.9705,2.6596,0.0606,7444
locf,random_p0.3,gcs,0.6947,0.9479,2.3607,0.0932,8164
locf,random_p0.3,glucose,0.4860,0.6914,1.3633,0.5180,8085
locf,random_p0.3,creatinine,0.4896,0.6979,1.1555,0.5296,8038
locf,random_p0.3,bilirubin,0.3163,0.5970,0.7854,0.6518,7818
locf,random_p0.3,bun,0.3480,0.5925,0.8182,0.6364,7766
locf,random_p0.3,wbc,0.4716,0.7109,1.6438,0.4780,7477
locf,random_p0.3,sodium,0.4069,0.6691,1.1902,0.5391,7625
locf,random_p0.3,potassium,0.5855,0.8006,1.4644,0.3412,7625
locf,random_p0.3,hematocrit,0.5729,0.7874,1.8837,0.3562,8575
locf,random_p0.3,bicarbonate,0.4319,0.6583,1.3756,0.5907,6065
linear_interp,random_p0.3,heart_rate,0.2558,0.3898,1.7392,0.8482,87141
linear_interp,random_p0.3,sbp,0.3370,0.4831,1.5206,0.7628,84923
linear_interp,random_p0.3,dbp,0.4776,0.6927,2.4845,0.5166,84719
linear_interp,random_p0.3,mbp,0.5304,0.7579,1.4405,0.4495,86583
linear_interp,random_p0.3,respiratory_rate,0.4740,0.7128,1.3920,0.4828,86339
linear_interp,random_p0.3,spo2,0.1783,0.3327,0.6922,0.8917,5237
linear_interp,random_p0.3,temperature,0.5444,0.8481,2.9001,0.2826,7444
linear_interp,random_p0.3,gcs,0.5908,0.8294,2.3797,0.3058,8164
linear_interp,random_p0.3,glucose,0.3688,0.5109,1.4134,0.7368,8085
linear_interp,random_p0.3,creatinine,0.3378,0.4886,1.0239,0.7694,8038
linear_interp,random_p0.3,bilirubin,0.1400,0.2974,0.5674,0.9136,7818
linear_interp,random_p0.3,bun,0.1561,0.3002,0.5721,0.9067,7766
linear_interp,random_p0.3,wbc,0.3396,0.5199,1.7683,0.7209,7477
linear_interp,random_p0.3,sodium,0.2388,0.4085,1.2129,0.8282,7625
linear_interp,random_p0.3,potassium,0.4114,0.5797,1.4559,0.6546,7625
linear_interp,random_p0.3,hematocrit,0.4111,0.5839,1.8003,0.6460,8575
linear_interp,random_p0.3,bicarbonate,0.3088,0.4668,1.2870,0.7942,6065
timesfm,random_p0.3,heart_rate,0.5508,0.7056,2.8078,0.5024,87141
timesfm,random_p0.3,sbp,0.3955,0.5195,1.3138,0.7256,84923
timesfm,random_p0.3,dbp,0.6922,0.8851,1.8337,0.2107,84719
timesfm,random_p0.3,mbp,0.6172,0.8067,1.4763,0.3764,86583
timesfm,random_p0.3,respiratory_rate,0.9315,1.1568,1.7066,-0.3621,86339
timesfm,random_p0.3,spo2,0.9370,1.2486,1.7881,-0.5250,5237
timesfm,random_p0.3,temperature,0.7786,1.0773,2.8509,-0.1577,7444
timesfm,random_p0.3,gcs,0.8610,1.1000,2.5338,-0.2212,8164
timesfm,random_p0.3,glucose,0.7960,1.0463,2.2877,-0.1038,8085
timesfm,random_p0.3,creatinine,0.8254,1.0685,1.7400,-0.1027,8038
timesfm,random_p0.3,bilirubin,0.7085,1.0415,1.8082,-0.0598,7818
timesfm,random_p0.3,bun,0.7448,1.0347,2.0617,-0.1086,7766
timesfm,random_p0.3,wbc,0.7330,1.0171,2.2879,-0.0684,7477
timesfm,random_p0.3,sodium,0.8702,1.0973,2.8496,-0.2397,7625
timesfm,random_p0.3,potassium,0.8042,1.0194,2.0437,-0.0682,7625
timesfm,random_p0.3,hematocrit,0.7976,1.0027,1.8185,-0.0442,8575
timesfm,random_p0.3,bicarbonate,0.8510,1.2820,2.3084,-0.5524,6065
